id,assessment,farm_name,farm_type,crop_type,stage,process,input,material,value,unit,gwp_hectarefarm,gwp_mt_seaweed,total_gwp_farm,stage_total,process_total,gwp_kl,percent_total,emission_factor,reference
153,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,ensilage drying,"US Class 8 Freight Truck (40,000lb capacity)",diesel,101.5,tkm,,107,,,,,,,
154,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,ensilage drying,min energy for drying,US process steam from natural gas,2461,MJ,,209.6,,,,,,,
155,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,ensilage drying,min energy for drying,US process steam from light fuel oil,2461,MJ,,265.3,,,,,,,
156,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,ensilage drying,min energy for drying,US 2018 electricity grid mix,2461,MJ,,324.9,,,,,,,
157,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,ensilage drying,max energy for drying,US process steam from natural gas,11320.8,MJ,,964,,,,,,,
158,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,ensilage drying,max energy for drying,US process steam from light fuel oil,11320.8,MJ,,1220.5,,,,,,,
159,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,ensilage drying,max energy for drying,US 2018 electricity grid mix,11320.8,MJ,,1494.7,,,,,,,
160,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,ensilage chopper,CH: fava or protein peas at feed mill,natural gas burned in industrial furnace,100,MJ,,6.82,,,,,,,
161,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,ensilage chopper,CH: fava or protein peas at feed mill,US 2018 electricity grid mix,90,MJ,,11.9,,,,,,,
162,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,ensilage chopper,"CH: barley, rye, or wheat at feed mill",natural gas burned in industrial furnace,145,MJ,,9.9,,,,,,,
163,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,ensilage chopper,"CH: barley, rye, or wheat at feed mill",US 2018 electricity grid mix,126,MJ,,16.6,,,,,,,
164,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,ensilage chopper,"US Class 8 Freight Truck (40,000lb capacity)",diesel,101.5,tkm,,107,,,,,,,
165,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,standard feed mill,CH: fava or protein peas at feed mill,natural gas burned in industrial furnace,100,MJ,,6.82,,,,,,,
166,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,standard feed mill,CH: fava or protein peas at feed mill,US 2018 electricity grid mix,90,MJ,,11.9,,,,,,,
167,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,standard feed mill,"CH: barley, rye, or wheat at feed mill",natural gas burned in industrial furnace,145,MJ,,9.9,,,,,,,
168,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,standard feed mill,"CH: barley, rye, or wheat at feed mill",US 2018 electricity grid mix,126,MJ,,16.6,,,,,,,
169,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,standard feed mill,"US Class 8 Freight Truck (40,000lb capacity)",diesel,50,tkm,,52.5,,,,,,,
170,deep ocean sinking,Animal Feed Parameters,long-line,,deep ocean sinking,deep ocean sinking,min vessel gwp,diesel,0.0144,kg CO2/tkm,,,,,,,,,(Thinkstep) EU-28: Container ship (EN15804 A4)
171,deep ocean sinking,Animal Feed Parameters,long-line,,deep ocean sinking,deep ocean sinking,mid vessel gwp,diesel,0.0506,kg CO2/tkm,,,,,,,,,personal calculation
172,deep ocean sinking,Animal Feed Parameters,long-line,,deep ocean sinking,deep ocean sinking,max vessel gwp,diesel,0.0868,kg CO2/tkm,,,,,,,,,"(ThinkStep) GLO: Motor ship, 1500t payload capacity / upstream"
173,natural sequestration,Animal Feed Parameters,long-line,,natural sequestration,natural sequestration,percent mass sequestered as DOC below mixed layer,,17.2,%,,,,,,,,,"Krause-Jensen, D., & Duarte, C. M. (2016). Substantial role of macroalgae in marine carbon sequestration. Nature Geoscience, 9(10), 737–742."
174,natural sequestration,Animal Feed Parameters,long-line,,natural sequestration,natural sequestration,percent mass sequestered as POC below mixed layer,,5.2,%,,,,,,,,,"Krause-Jensen, D., & Duarte, C. M. (2016). Substantial role of macroalgae in marine carbon sequestration. Nature Geoscience, 9(10), 737–742."
175,natural sequestration,Animal Feed Parameters,long-line,,natural sequestration,natural sequestration,percent mass sequestered as POC in sediment,,2.1,%,,,,,,,,,"Krause-Jensen, D., & Duarte, C. M. (2016). Substantial role of macroalgae in marine carbon sequestration. Nature Geoscience, 9(10), 737–742."
